Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Google Maps;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;DeuxMillevingtDeux Nb D apprentis;DeuxMillevingtDeux  Nb D initiaux;DeuxMillevingtEtUn Nb D apprentis;DeuxMillevingtEtUn  Nb D initiaux;DeuxMillevingt Nb D apprentis;DeuxMillevingt  Nb D initiaux;DeuxMilleDixNeuf  Nb D apprentis;DeuxMilleDixNeuf  Nb D initiaux;DeuxMilleDixHuit  Nb D apprentis;DeuxMilleDixHuit  Nb D initiaux;DeuxMilleDixSept  Nb D apprentis;DeuxMilleDixSept  Nb D initiaux;DeuxMilleSeize  Nb D apprentis;DeuxMilleSeize  Nb D initiaux;DeuxMilleQuinze  Nb D apprentis;DeuxMilleQuinze  Nb D initiaux;DeuxMilleQuatorze  Nb D apprentis;DeuxMilleQuatorze  Nb D intiaux;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J;;
Pharmaceutique;Médicaments;Delpharm Reims;";2022_A=1 ;2021_A=1 ;2020_A=3 ;2019_A=4 ;2018_A=7  ; 2017_A=5 ; 2017_i=1 ; 2016_A=6 ; 2016_i=1 ; 2015_A=3  ; 2014_A=3 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10, rue colonel Charbonneaux;Reims;51100;03 26 88 81 10;https://www.linkedin.com/company/delpharmreims/?originalSubdomain=fr;49.2727416824859,  4.003045026580413 ;72F3+26 Reims;;;;;;;1;N° 1 Delpharm Reims;1;N° 1 Delpharm Reims;1;;1;;3;;4;;7;;5;1;6;1;3;;3;;151;7;3;4;7;5;6;3;3;0;0;0;1;1;0;0;;
Alimentaire;sucrerie;Cristal union, Bazancourt;";2022_A=1 ;2021_A=1 ;2020_A=1   ;2018_A=1  ; 2017_A=1  ; 2016_A=1 ; 2016_i=1 ; 2015_A=2  ; 2014_A=1 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115, rue de Pomacle;Bazancourt;51110;03 26 03 31 81;https://www.linkedin.com/company/cristal-union/?originalSubdomain=fr;49.35053765521716, 4.16640323758108;;;;;;;;2;N° 2 Cristal union, Bazancourt;2;N° 2 Cristal union, Bazancourt;1;;1;;1;;;;1;;1;;1;1;2;;1;;44;3;1;0;1;1;1;2;1;0;0;0;0;1;0;0;;
Hôpital;"Echantillon 
biologique";Hopital Simone Veil;";2022_A=1 ; 2022_i=2;2021_A=3               ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 Rue de Saint-Prix ;Eaubonne;95600;134066000;http://www.hopital-simoneveil.fr/;49.001730503608364, 2.272090141308587;;;;;;;;;;;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lycée;Etudiants en  BTS Analyses de biologie médicale;Lycée polyvalent Jean Monnet;";2022_A=1                 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue jean monnet;Franconville;95130;01 30 72 46 61;https://www.lycee-jeanmonnet-franconville.fr;48.99175429668201, 2.2144901116385465;;;;;;;;3;N° 3 Lycée polyvalent Jean Monnet;3;N° 3 Lycée polyvalent Jean Monnet;1;;;;;;;;;;;;;;;;;;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
